# Source: https://unicode.org/Public/emoji/latest/emoji-test.txt
# Unicode Emoji 17.0, fully-qualified entries, generated from 2025-08-04 data.
# emoji	name	group	subgroup	version
😀	grinning face	Smileys & Emotion	face-smiling	E1.0
😃	grinning face with big eyes	Smileys & Emotion	face-smiling	E0.6
😄	grinning face with smiling eyes	Smileys & Emotion	face-smiling	E0.6
😁	beaming face with smiling eyes	Smileys & Emotion	face-smiling	E0.6
😆	grinning squinting face	Smileys & Emotion	face-smiling	E0.6
😅	grinning face with sweat	Smileys & Emotion	face-smiling	E0.6
🤣	rolling on the floor laughing	Smileys & Emotion	face-smiling	E3.0
😂	face with tears of joy	Smileys & Emotion	face-smiling	E0.6
🙂	slightly smiling face	Smileys & Emotion	face-smiling	E1.0
🙃	upside-down face	Smileys & Emotion	face-smiling	E1.0
🫠	melting face	Smileys & Emotion	face-smiling	E14.0
😉	winking face	Smileys & Emotion	face-smiling	E0.6
😊	smiling face with smiling eyes	Smileys & Emotion	face-smiling	E0.6
😇	smiling face with halo	Smileys & Emotion	face-smiling	E1.0
🥰	smiling face with hearts	Smileys & Emotion	face-affection	E11.0
😍	smiling face with heart-eyes	Smileys & Emotion	face-affection	E0.6
🤩	star-struck	Smileys & Emotion	face-affection	E5.0
😘	face blowing a kiss	Smileys & Emotion	face-affection	E0.6
😗	kissing face	Smileys & Emotion	face-affection	E1.0
☺️	smiling face	Smileys & Emotion	face-affection	E0.6
😚	kissing face with closed eyes	Smileys & Emotion	face-affection	E0.6
😙	kissing face with smiling eyes	Smileys & Emotion	face-affection	E1.0
🥲	smiling face with tear	Smileys & Emotion	face-affection	E13.0
😋	face savoring food	Smileys & Emotion	face-tongue	E0.6
😛	face with tongue	Smileys & Emotion	face-tongue	E1.0
😜	winking face with tongue	Smileys & Emotion	face-tongue	E0.6
🤪	zany face	Smileys & Emotion	face-tongue	E5.0
😝	squinting face with tongue	Smileys & Emotion	face-tongue	E0.6
🤑	money-mouth face	Smileys & Emotion	face-tongue	E1.0
🤗	smiling face with open hands	Smileys & Emotion	face-hand	E1.0
🤭	face with hand over mouth	Smileys & Emotion	face-hand	E5.0
🫢	face with open eyes and hand over mouth	Smileys & Emotion	face-hand	E14.0
🫣	face with peeking eye	Smileys & Emotion	face-hand	E14.0
🤫	shushing face	Smileys & Emotion	face-hand	E5.0
🤔	thinking face	Smileys & Emotion	face-hand	E1.0
🫡	saluting face	Smileys & Emotion	face-hand	E14.0
🤐	zipper-mouth face	Smileys & Emotion	face-neutral-skeptical	E1.0
🤨	face with raised eyebrow	Smileys & Emotion	face-neutral-skeptical	E5.0
😐	neutral face	Smileys & Emotion	face-neutral-skeptical	E0.7
😑	expressionless face	Smileys & Emotion	face-neutral-skeptical	E1.0
😶	face without mouth	Smileys & Emotion	face-neutral-skeptical	E1.0
🫥	dotted line face	Smileys & Emotion	face-neutral-skeptical	E14.0
😶‍🌫️	face in clouds	Smileys & Emotion	face-neutral-skeptical	E13.1
😏	smirking face	Smileys & Emotion	face-neutral-skeptical	E0.6
😒	unamused face	Smileys & Emotion	face-neutral-skeptical	E0.6
🙄	face with rolling eyes	Smileys & Emotion	face-neutral-skeptical	E1.0
😬	grimacing face	Smileys & Emotion	face-neutral-skeptical	E1.0
😮‍💨	face exhaling	Smileys & Emotion	face-neutral-skeptical	E13.1
🤥	lying face	Smileys & Emotion	face-neutral-skeptical	E3.0
🫨	shaking face	Smileys & Emotion	face-neutral-skeptical	E15.0
🙂‍↔️	head shaking horizontally	Smileys & Emotion	face-neutral-skeptical	E15.1
🙂‍↕️	head shaking vertically	Smileys & Emotion	face-neutral-skeptical	E15.1
